X,Y,address,business_name,business_type,precinct,live_date,ObjectId
-82.976572,42.43544,14302 Gratiot Ave,K & H Nails,Services,9,2018/10/25 04:00:00+00,388
-82.976534,42.435476,14304 Gratiot Ave,Boost Mobile,Services,9,2018/10/25 04:00:00+00,389
-82.976518,42.435527,14306 Gratiot Ave,Check-N-Go,Services,9,2018/10/25 04:00:00+00,390
-82.976508,42.435562,14308 Gratiot Ave,Daily Catch Fish Market,Retail,9,2018/10/25 04:00:00+00,391
-83.069138,42.331716,1680 Michigan Ave,Detroit PAL,Services,3,2018/10/26 04:00:00+00,392
-83.193182,42.420728,6700 W Outer Dr,Hartford Nursing & Rehabilitation Center,Services,12,2018/10/27 04:00:00+00,393
-83.091486,42.363801,2567 W Grand Blvd,Boulevard Temple Care Center,Residential,10,2018/11/01 04:00:00+00,394
-83.179674,42.402666,15311 Schaefer Hwy,Sheffield Manor Nursing & Rehab Center,Residential,2,2018/11/01 04:00:00+00,395
-83.23011,42.430609,19100 W 7 Mile Rd,Regency Heights Detroit,Residential,8,2018/11/01 04:00:00+00,396
-83.039244,42.433359,6250 E 7 Mile Rd,Kwik Stop Liquor,Retail,11,2018/11/07 05:00:00+00,397
-82.995118,42.391762,5680 French Rd,Mobil,Retail,5,2018/11/07 05:00:00+00,398
-83.241128,42.429247,20201 W 7 Mile Rd,Heyden Food,Retail,8,2018/11/07 05:00:00+00,399
-83.014632,42.379527,8031 Gratiot Ave,Sunoco,Retail,7,2018/11/07 05:00:00+00,400
-82.974927,42.438486,14540 Gratiot Ave,Detroit Goodyear Supercenter,Services,9,2018/11/08 05:00:00+00,401
-82.997225,42.448736,12510 E 8 Mile Rd,MnM Motel,Residential,9,2018/11/09 05:00:00+00,402
-83.231079,42.386627,19300 Schoolcraft,Schoolcraft Liquor,Retail,8,2018/11/09 05:00:00+00,403
-83.139731,42.381484,12603 Livernois Ave,Wearmaster,Services,10,2018/11/12 05:00:00+00,404
-83.05045,42.335748,1 Park Ave,David Whitney Building,Residential,3,2018/11/12 05:00:00+00,405
-83.178148,42.431373,13344 W 7 Mile Rd,7 Mile Kennedy Liquor,Retail,12,2018/11/14 05:00:00+00,406
-83.140397,42.397034,14595 Livernois Ave,Detroit Tire and Auto,Services,10,2018/11/16 05:00:00+00,407
-83.222963,42.443813,18321 W 8 Mile Rd,Citgo,Retail,8,2018/11/16 05:00:00+00,408
-83.044275,42.438231,19457 Mound Rd,Diamond Dot Liquor Shoppe,Retail,11,2018/11/16 05:00:00+00,409
-83.1409,42.408407,15875 Livernois Ave,Marco's Car Wash,Services,12,2018/11/21 05:00:00+00,410
-83.054212,42.418963,4821 E McNichols Rd,Sunshine Treatment Institute,Services,11,2018/11/21 05:00:00+00,411
-83.201307,42.442465,20441 James Couzens Fwy,Andy’s Market,Retail,8,2018/11/21 05:00:00+00,412
-82.95682,42.398556,5201 Alter Rd,Royal Skateland,Services,5,2018/11/27 05:00:00+00,413
-83.062828,42.382462,1500 E Euclid St,L & W Engineering Co.,Services,3,2018/11/28 05:00:00+00,414
-83.236541,42.443585,19645 W 8 Mile Rd,Alpha Automotive,Services,8,2018/11/29 05:00:00+00,415
-83.104537,42.367625,8406 Linwood St,Citgo,Retail,10,2018/11/30 05:00:00+00,416
-83.052443,42.334643,415 Clifford St,Philip Houze,Residential,3,2018/12/03 05:00:00+00,417
-83.097969,42.371677,8665 Rosa Parks Blvd,Family Foods Super Store,Retail,10,2018/12/04 05:00:00+00,418
-83.098091,42.372537,8677 Rosa Parks Blvd,Fu Lin,Retail,10,2018/12/04 05:00:00+00,419
-83.09782,42.372661,8679 Rosa Parks Blvd,Lee Beauty Supply,Retail,10,2018/12/04 05:00:00+00,420
-83.076795,42.374767,8055 Woodward Ave,New Center Super Market,Retail,3,2018/12/05 05:00:00+00,421
-83.072719,42.446853,3000 E 8 Mile Rd,Sunoco,Retail,11,2018/12/06 05:00:00+00,422
-82.998921,42.358535,"8044 Kercheval, Unit 1B",Marrow,Retail,7,2018/12/07 05:00:00+00,423
-82.927185,42.424377,20901 Moross Rd,Covenant Community Care,Services,5,2018/12/12 05:00:00+00,424
-83.199325,42.430764,15444 W 7 Mile Rd,Mobil,Retail,12,2018/12/12 05:00:00+00,425
-83.093446,42.331187,3613 Michigan Ave,Coin-O-Matic,Services,4,2018/12/12 05:00:00+00,426
-82.958054,42.428798,18077 Kelly Rd,Liquor Captain,Retail,9,2018/12/18 05:00:00+00,427
-83.103909,42.316785,5811 W Vernor Hwy,99 Plus Express,Retail,4,2018/12/18 05:00:00+00,428
-82.992691,42.434505,12840 E 7 Mile Rd,Shorty's Liquor Store,Retail,9,2018/12/19 05:00:00+00,429
-83.109528,42.357224,2021 W Grand Blvd,Mobil,Retail,10,2018/12/20 05:00:00+00,430
-83.14073,42.402929,6306 Fenkell Ave,Mobil,Retail,10,2018/12/20 05:00:00+00,431
-83.139756,42.402394,15230 Livernois,BP,Retail,10,2018/12/20 05:00:00+00,432
-82.980308,42.449123,14010 E 8 Mile Rd,Frank's Auto Muffler,Services,9,2018/12/21 05:00:00+00,433
-82.994888,42.352077,8005 E Jefferson Ave,Sunoco,Retail,7,2018/12/21 05:00:00+00,434
-83.014789,42.437646,5181 East Outer Dr,New Breakthrough Church International,Services,11,2018/12/31 05:00:00+00,435
-83.050441,42.33385,232 W Grand River Ave,Louis Kamper Building,Residential,3,2018/12/31 05:00:00+00,436
-83.05125,42.336285,1600 Woodward Ave,Grand Circus Park,Services,3,2018/12/31 05:00:00+00,437
-83.05035,42.332083,1114 Washington Blvd,The Westin Book Cadillac Detroit,Residential,3,2018/12/31 05:00:00+00,438
-83.050459,42.333501,1258 Washington Blvd,Stevens Building,Residential,3,2018/12/31 05:00:00+00,439
-83.141973,42.436646,19495 Livernois Ave,Three Thirteen,Retail,12,2019/01/08 05:00:00+00,440
-83.081598,42.324149,2835 Bagley St,Mexican Town Welcome Center,Services,4,2019/01/09 05:00:00+00,441
-83.08117,42.324269,"2835 Bagley St, Suite 100",DTE,Services,4,2019/01/09 05:00:00+00,442
-83.081463,42.324176,"2835 Bagley St, Suite, 200",Secretary of State,Services,4,2019/01/09 05:00:00+00,443
-83.081286,42.324219,"2835 Bagley St, Suite, 600",Mexican Town Latino Cultural Center,Services,4,2019/01/09 05:00:00+00,444
-83.196755,42.345014,7285 Greenfield Rd,Tim Hortons,Retail,6,2019/01/14 05:00:00+00,445
-83.164997,42.431479,10340 W 7 Mile Rd,Child Star Development Center,Services,12,2019/01/15 05:00:00+00,446
-83.178254,42.401866,13501 Fenkell Ave,Fenkell Enterprises,Services,2,2019/01/16 05:00:00+00,447
-83.085437,42.322926,3437 Bagley St,Xochi's Gift Shop,Retail,4,2019/01/17 05:00:00+00,448
-83.150217,42.373591,10786 Grand River Ave,U & I 12,Retail,2,2019/01/18 05:00:00+00,449
-83.218604,42.430448,17800 W 7 Mile Rd,Marathon,Retail,8,2019/01/23 05:00:00+00,450
-83.218011,42.415882,17804 W McNichols Rd,BP,Retail,8,2019/01/23 05:00:00+00,451
-83.128893,42.364996,8990 Grand River Ave,Michigan Barber School,Services,10,2019/01/24 05:00:00+00,452
-83.126167,42.331446,6680 Michigan Ave,Garden Fresh Marketplace,Retail,4,2019/01/25 05:00:00+00,453
-83.265782,42.419221,22711 Grand River Ave,DaVita Dialysis,Services,8,2019/02/01 05:00:00+00,454
-83.187328,42.402084,14444 Fenkell Ave,Marathon,Retail,2,2019/02/06 05:00:00+00,455
-83.141351,42.421003,17521 Livernois Ave,Trade Winds,Retail,12,2019/02/08 05:00:00+00,456
-83.199351,42.443899,20490 Greenfield Rd,Crystal House Motel,Residential,12,2019/02/08 05:00:00+00,457
-83.023541,42.43369,19030 Van Dyke St,Citgo,Retail,11,2019/02/08 05:00:00+00,458
-83.161887,42.445285,10001 W 8 Mile Rd,Shell,Retail,12,2019/02/08 05:00:00+00,459
-82.936794,42.403207,16450 E Warren Ave,Wine Basket,Retail,5,2019/02/12 05:00:00+00,460
-82.935589,42.417105,17163 Harper Ave,Cadieux Discount Pharmacy,Retail,5,2019/02/13 05:00:00+00,461
-83.004367,42.350033,215 E Grand Blvd,Mustard Tree Co-op,Residential,7,2019/02/13 05:00:00+00,462
-83.21572,42.399332,17631 Grand River Ave,Sam's Appliances,Retail,8,2019/02/14 05:00:00+00,463
-83.08146,42.325549,1759 W 20th St,DSDT - A Detroit School for Digital Technology,Services,4,2019/02/18 05:00:00+00,464
-82.972203,42.387408,4681 Conner St,VT Nails,Services,5,2019/02/20 05:00:00+00,465
-83.276304,42.41307,16866 Telegraph Rd,Telegraph Apartment,Residential,8,2019/02/21 05:00:00+00,466
-83.276232,42.413832,16920 Telegraph Rd,Telegraph Motel,Residential,8,2019/02/21 05:00:00+00,467
-83.159223,42.398081,14800 Wyoming Ave,Fosters Market,Retail,10,2019/02/22 05:00:00+00,468
-83.201383,42.444114,20500 James Couzens Fwy,Cranbrook Motel,Residential,12,2019/02/28 05:00:00+00,469
-83.109374,42.417965,410 W McNichols Rd,Dean's Party Store,Retail,12,2019/03/01 05:00:00+00,470
-83.021935,42.441497,4661 E Outer Dr,Conner Creek Senior Living,Residential,11,2019/03/05 05:00:00+00,471
-83.173258,42.409296,13015 Puritan Ave,Aldewin Rose Construction,Services,12,2019/03/05 05:00:00+00,472
-83.19988,42.444133,20500 Greenfield Rd,Citgo,Retail,12,2019/03/08 05:00:00+00,473
-83.212758,42.380571,12635 Memorial St,Ramblewood Apartments,Residential,6,2019/03/12 04:00:00+00,474
-83.178102,42.385776,13400 Schaefer Hwy,Metropolitan Church of God,Services,2,2019/03/15 04:00:00+00,475
-82.973759,42.402191,12829 Harper Ave,Detroit Wing Spot,Retail,9,2019/03/15 04:00:00+00,476
-83.132351,42.331317,7100 Michigan Ave,Covenant Community Care,Services,4,2019/03/19 04:00:00+00,477
-83.008529,42.358138,528 E Grand Blvd,Federation of Youth Services,Services,7,2019/03/20 04:00:00+00,478
-83.175763,42.416331,13207 W McNichols Rd,JNB Market,Retail,12,2019/03/22 04:00:00+00,479
-82.99717,42.370435,8844 Mack Ave,Blue Light Market,Retail,7,2019/03/27 04:00:00+00,480
-82.929923,42.405644,17040 E Warren Ave,Marathon,Retail,5,2019/03/28 04:00:00+00,481
-83.020431,42.441695,4663 E Outer Dr,Conner Creek Senior Living 2,Residential,11,2019/04/01 04:00:00+00,482
-83.133199,42.416993,3205 W McNichols Rd,Stop and Go Deli #2,Retail,12,2019/04/01 04:00:00+00,483
-83.158935,42.395506,14508 Wyoming St,Super Coney Island,Retail,10,2019/04/05 04:00:00+00,484
-83.145271,42.378752,3636 Ewald Cir,Ewald Liquor,Retail,10,2019/04/05 04:00:00+00,485
-83.150921,42.329155,8919 Michigan Ave,Quality Market,Retail,4,2019/04/08 04:00:00+00,486
-83.12153,42.40252,2201 Fenkell St,Vedo Logistics,Services,10,2019/04/10 04:00:00+00,487
-83.086335,42.439733,1720 E State Fair,Mt. Calvary Baptist Church,Services,11,2019/04/10 04:00:00+00,488
-82.969056,42.403543,13929 Harper Ave,Metro - East Drug Treatment Corporation,Services,9,2019/04/10 04:00:00+00,489
-83.120237,42.410018,2041 Puritan St,Save Up Market,Retail,12,2019/04/10 04:00:00+00,490
-83.159009,42.37373,10000 Plymouth Rd,Sunoco,Retail,2,2019/04/11 04:00:00+00,491
-83.11802,42.374379,3342 Chicago Blvd,T&T Properties,Residential,10,2019/04/12 04:00:00+00,492
-83.157122,42.358662,8656 Wyoming St,Hometown Market,Retail,2,2019/04/15 04:00:00+00,493
-83.202386,42.364442,9358 Rutherford St,Alexander Court Apartments,Residential,6,2019/04/24 04:00:00+00,494
-82.943751,42.401332,15901 E Warren Ave,Nino’s Market,Retail,5,2019/04/24 04:00:00+00,495
-83.199323,42.428898,18900 Greenfield Rd,Exxon,Retail,12,2019/04/24 04:00:00+00,496
-83.023434,42.355077,3360 Charlevoix St,Franklin-Wright Settlements,Services,7,2019/05/03 04:00:00+00,497
-83.119586,42.388723,12619 Linwood St,Valero Gas / Cousins One Stop Market,Retail,10,2019/05/03 04:00:00+00,498
-83.128702,42.376568,4241 Burlingame St,Oak Village Square Apartments,Residential,10,2019/05/10 04:00:00+00,499
-83.065968,42.35227,459 Prentis St,Orrington Apartments,Residential,3,2019/05/10 04:00:00+00,500
-83.017913,42.405325,8301 Lynch Rd,Premier Group Associates,Services,11,2019/05/10 04:00:00+00,501
-83.138481,42.369318,9848 Livernois Ave,KFC,Retail,10,2019/05/17 04:00:00+00,502
-83.218306,42.429745,17801 W 7 Mile Rd,Tax Tumblerz,Services,8,2019/05/21 04:00:00+00,503
-83.218529,42.429746,17815 W 7 Mile Rd,Evolution Beauty Bar,Services,8,2019/05/21 04:00:00+00,504
-83.218681,42.429739,17825 W 7 Mile Rd,Vacant,Retail,8,2019/05/21 04:00:00+00,505
-83.218361,42.429741,17805 W 7 Mile Rd,Los Chapos Mexican Restaurant,Retail,8,2019/05/21 04:00:00+00,506
-83.218442,42.429743,17807 W 7 Mile Rd,Michigan Medical Application Center,Services,8,2019/05/21 04:00:00+00,507
-83.189093,42.416802,14530 W McNichols Rd,Valero,Retail,12,2019/05/21 04:00:00+00,508
-83.005071,42.393884,9963 Gratiot Ave,Prince Liquor,Retail,7,2019/05/24 04:00:00+00,509
-83.217543,42.401447,17750 Fenkell Ave,KFC,Retail,8,2019/05/29 04:00:00+00,510
-83.224157,42.40154,18610A Fenkell Ave,Humana,Services,8,2019/05/30 04:00:00+00,511
-83.224164,42.401614,18610B Fenkell Ave,Oak Street Health,Services,8,2019/05/30 04:00:00+00,512
-83.224175,42.401707,18612 Fenkell Ave,Nail Zone,Services,8,2019/05/30 04:00:00+00,513
-83.224192,42.401789,18614 Fenkell Ave,Panda Chinese Restaurant,Retail,8,2019/05/30 04:00:00+00,514
-83.224192,42.401918,18616 Fenkell Ave,La Kabob Grill,Retail,8,2019/05/30 04:00:00+00,515
-83.224087,42.401255,18602 Fenkell Ave,Kidz Kingdom,Services,8,2019/05/30 04:00:00+00,516
-83.224108,42.401342,18604 Fenkell Ave,Grand River Outlet,Retail,8,2019/05/30 04:00:00+00,517
-83.224122,42.401403,18606 Fenkell Ave,Hook Me Up Clothing Store,Retail,8,2019/05/30 04:00:00+00,518
